dataset,file,label
CASME2,data_raw\CASME2\disgust\reg_img10 (2).jpg,disgust
CASME2,data_raw\CASME2\disgust\reg_img10 (3).jpg,disgust
CASME2,data_raw\CASME2\disgust\reg_img10 (4).jpg,disgust
CASME2,data_raw\CASME2\disgust\reg_img10.jpg,disgust
CASME2,data_raw\CASME2\disgust\reg_img100 (10).jpg,disgust
CASME2,data_raw\CASME2\disgust\reg_img100 (11).jpg,disgust
CASME2,data_raw\CASME2\disgust\reg_img100 (12).jpg,disgust
CASME2,data_raw\CASME2\disgust\reg_img100 (13).jpg,disgust
CASME2,data_raw\CASME2\disgust\reg_img100 (14).jpg,disgust
CASME2,data_raw\CASME2\disgust\reg_img100 (15).jpg,disgust
CASME2,data_raw\CASME2\disgust\reg_img100 (16).jpg,disgust
CASME2,data_raw\CASME2\disgust\reg_img100 (17).jpg,disgust
CASME2,data_raw\CASME2\disgust\reg_img100 (18).jpg,disgust
CASME2,data_raw\CASME2\disgust\reg_img100 (19).jpg,disgust
CASME2,data_raw\CASME2\disgust\reg_img100 (2).jpg,disgust
CASME2,data_raw\CASME2\disgust\reg_img100 (20).jpg,disgust
CASME2,data_raw\CASME2\disgust\reg_img100 (21).jpg,disgust
CASME2,data_raw\CASME2\disgust\reg_img100 (22).jpg,disgust
CASME2,data_raw\CASME2\disgust\reg_img100 (23).jpg,disgust
CASME2,data_raw\CASME2\disgust\reg_img100 (24).jpg,disgust
CASME2,data_raw\CASME2\disgust\reg_img100 (25).jpg,disgust
CASME2,data_raw\CASME2\disgust\reg_img100 (26).jpg,disgust
CASME2,data_raw\CASME2\disgust\reg_img100 (27).jpg,disgust
CASME2,data_raw\CASME2\disgust\reg_img100 (28).jpg,disgust
CASME2,data_raw\CASME2\disgust\reg_img100 (29).jpg,disgust
CASME2,data_raw\CASME2\disgust\reg_img100 (3).jpg,disgust
CASME2,data_raw\CASME2\disgust\reg_img100 (30).jpg,disgust
CASME2,data_raw\CASME2\disgust\reg_img100 (31).jpg,disgust
CASME2,data_raw\CASME2\disgust\reg_img100 (32).jpg,disgust
CASME2,data_raw\CASME2\disgust\reg_img100 (33).jpg,disgust
CASME2,data_raw\CASME2\disgust\reg_img100 (34).jpg,disgust
CASME2,data_raw\CASME2\disgust\reg_img100 (35).jpg,disgust
CASME2,data_raw\CASME2\disgust\reg_img100 (36).jpg,disgust
CASME2,data_raw\CASME2\disgust\reg_img100 (37).jpg,disgust
CASME2,data_raw\CASME2\disgust\reg_img100 (38).jpg,disgust
CASME2,data_raw\CASME2\disgust\reg_img100 (4).jpg,disgust
CASME2,data_raw\CASME2\disgust\reg_img100 (5).jpg,disgust
CASME2,data_raw\CASME2\disgust\reg_img100 (6).jpg,disgust
CASME2,data_raw\CASME2\disgust\reg_img100 (7).jpg,disgust
CASME2,data_raw\CASME2\disgust\reg_img100 (8).jpg,disgust
CASME2,data_raw\CASME2\disgust\reg_img100 (9).jpg,disgust
CASME2,data_raw\CASME2\disgust\reg_img100.jpg,disgust
CASME2,data_raw\CASME2\disgust\reg_img101 (10).jpg,disgust
CASME2,data_raw\CASME2\disgust\reg_img101 (11).jpg,disgust
